Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,Bridgewater Chiropractic Services,Self-regulated health professional,yes,yes
2020,Bridgewater Dental Centre,Dental office,no,yes
2020,Bridgewater Fire Department Band,Not for profit,yes,yes
2020,Bridgewater Physiotherapy,Self-regulated health professional,no,yes
2020,Brightwood Brewery,Drinking establishment,yes,yes
2020,Broadview Farms,Drinking establishment,yes,yes
2020,Brooks Electrolysis,Personal care service,yes,yes
2020,Brookside & Bliss,Personal care service,yes,yes
2020,Brookside and Bliss Salon,Personal care service,yes,yes
2020,BroomStick Moon,In-person trade shows and exhibitions,yes,yes
2020,Brown Athletix,Fitness establishment,yes,yes
2020,Brownstone Cafe,Restaurant with onsite dining,yes,yes
2020,Brunswick Bowling Lanes,Drinking establishment,yes,yes
2020,Brunswick Salon,Personal care service,yes,yes
2020,Bryanna's Cafe And Preserves,Restaurant with onsite dining,yes,yes
2020,B'Spoke Apparel,Personal care service,yes,yes
2020,Bubba Magoos,Small retail,no,yes
2020,Bubba Rays,Restaurant with onsite dining,yes,yes
2020,Bubba Rays,Restaurant with onsite dining,yes,yes
2020,Bubba Rays,Restaurant with onsite dining,yes,yes
2020,Buchanan's House of Music,Small retail,no,yes
2020,Budapest Bisztro,Restaurant with onsite dining,yes,yes
2020,Buffalo Club Lodge 8,Drinking establishment,no,yes
2020,Building Futures Employment Society,Charity,yes,yes
2020,Bulldog Martial Arts,Fitness establishment,yes,yes
2020,Burbine's Gym,Fitness establishment,yes,yes
2020,Burger King Restaurant,Restaurant with onsite dining,yes,no
2020,Burger King Restaurant,Restaurant with onsite dining,yes,yes
2020,Burke's Auto Body & W. Burke's Auto Sales,Small retail,no,yes
2020,Burns Dentistry,Dental office,no,yes
2020,Burns Vision Centre,Self-regulated health professional,yes,yes
2020,Burnside Dental Centre,Dental office,no,yes
2020,Burnside Mobile Catering,Restaurant with onsite dining,yes,yes
2020,Burnside Pizzeria,Restaurant with onsite dining,yes,yes
2020,Burnside Veterinary Clinic,Veterinarian,yes,no
2020,Burrito Jax,Restaurant with onsite dining,yes,yes
2020,Burrito Jax,Restaurant with onsite dining,yes,yes
2020,Busan Korean BBQ,Restaurant with onsite dining,no,yes
2020,Buta Ramen,Restaurant with onsite dining,yes,yes
2020,Bytz Foods,In-person trade shows and exhibitions,yes,yes
2020,C&A Hair Studio,Personal care service,yes,yes
2020,C&D Medical Care Products,Personal care service,no,yes
2020,Cabaret Hair and Esthetics,Personal care service,yes,yes
2020,Cabin Coffee,Restaurant with onsite dining,yes,yes
2020,Cabot Physiotherapy,Self-regulated health professional,yes,no
2020,Cabotto Chocolates,Small retail,no,yes
2020,Cacao70 Halifax Upperwater,Restaurant with onsite dining,yes,yes
2020,Cafe 98 on Portland,Restaurant with onsite dining,yes,yes
2020,Cafe Aroma Latino,Restaurant with onsite dining,yes,yes
2020,Cafe Chianti,Restaurant with onsite dining,yes,yes
2020,Cafe Goodluck,Restaurant with onsite dining,yes,yes
2020,Cafe Italia,Restaurant with onsite dining,yes,yes
2020,Café Lara,Restaurant with onsite dining,yes,yes
2020,Cafe Taiyaki 52,Restaurant with onsite dining,yes,yes
2020,Calithea Wellness,Personal care service,no,yes
2020,Callister's Country Kitchen,Restaurant with onsite dining,yes,yes
2020,Can*Sport,Fitness establishment,no,yes
2020,Canadian College of Acupuncture and Traditional Chinese Medicine Ltd.,Unregulated health professional,yes,no
2020,Canal Dental Clinic,Dental office,no,yes
2020,Canal Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Candlebox,Fitness establishment,yes,yes
2020,Canine Haven,Small retail,no,yes
2020,Canso Garage,Independent gas retail,no,yes
2020,Canton Family Restaurant,Restaurant with onsite dining,yes,no
2020,Canton Garden,Restaurant with onsite dining,yes,no
2020,Cape and Cowl Comics and Collectibles,Small retail,no,yes
2020,Cape Breton Centre for Craft and Design,Not for profit,yes,yes
2020,Cape Breton Chorale,"Live, performing arts for audience",no,yes
2020,Cape Breton Curiosity Shop,Small retail,no,yes
2020,Cape Breton Dental Group,Dental office,no,yes
2020,Cape Breton Farmers Market,Not for profit,yes,yes
2020,Cape Breton Gymnastics Academy Association,Not for profit,yes,yes
2020,Cape Breton Hearing Services,Self-regulated health professional,yes,yes
2020,Cape Breton Partnership,Not for profit,yes,yes
2020,Cape Escape Therapeutics,Unregulated health professional,yes,yes
2020,Cape Vision Centre,Self-regulated health professional,yes,yes
2020,Caper Gym,Fitness establishment,yes,yes
2020,Capergas,Independent gas retail,no,yes
2020,Capital Sports Bar,Restaurant with onsite dining,yes,yes
2020,Capitol Pub,Restaurant with onsite dining,yes,yes
2020,Capri Productions,Drinking establishment,yes,yes
2020,Capt. Kats Lobster Shack,Restaurant with onsite dining,yes,yes
2020,Captured Escape Rooms,"Live, performing arts for audience",yes,yes
2020,Caramel Hair Salon & Spa,Personal care service,yes,yes
2020,Cara's New Hairizons,Personal care service,no,yes
2020,Carlo's Barber Shop,Personal care service,yes,yes
2020,Carter Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Casa Bella Gifts,Small retail,no,yes
2020,Casa Dante Hairstying,Personal care service,yes,yes
2020,Casa Nova Fine Beverages,Drinking establishment,yes,yes
2020,Casaroma Wellness Centre,Personal care service,yes,yes
2020,Cascades Day Spa,Personal care service,yes,yes
2020,Case Cuts Barber Shop,Personal care service,yes,yes
2020,Castle Cuts Hair Salon,Personal care service,yes,yes
2020,Castlerock Country Inn,Restaurant with onsite dining,yes,yes
2020,Catalpa Tree Massage & Yoga,Self-regulated health professional,no,yes
2020,Catholic Episcopal Corporation,Charity,yes,yes
2020,Cathy & Company Hair Studio,Personal care service,no,yes
2020,Causeway Fitness Centre,Fitness establishment,yes,yes
2020,Causeway Massage,Unregulated health professional,yes,yes
2020,CC Lash and Brow,Self-regulated health professional,no,yes
2020,Cedar House Bakery and Restaurant,Restaurant with onsite dining,no,yes
2020,Cedars Club,Drinking establishment,yes,yes
2020,Ceilidh Denture Clinic,Dental office,no,yes
2020,Celine Nails,Personal care service,yes,yes
2020,CellMix,Small retail,no,yes
2020,Celtic Charters,Drinking establishment,yes,yes
2020,Celtic Clipper Barber Shop,Personal care service,no,yes
2020,Celtic Corner Public House,Drinking establishment,yes,yes
2020,Celtic Cuts,Personal care service,yes,yes
2020,Celtic Music Interpretive Centre,Restaurant with onsite dining,yes,yes
2020,Celtic Sisters Gifts,Small retail,no,yes
2020,Centennial Pool Association,Not for profit,yes,yes
2020,Centra Nova Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Central Nova Horse & Pony Association,"Live, performing arts for audience",no,yes
2020,Central Stations Hair Salon,Personal care service,yes,yes
2020,Centrelea Community Hall,Not for profit,yes,yes
2020,Certainly Cinnamon & The Wooden Door Bistro,Restaurant with onsite dining,yes,yes
2020,Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes
2020,Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes
2020,Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes
2020,Cha Baa Thai Restaurant Dartmouth,Restaurant with onsite dining,yes,yes
2020,Chain Lake Dental Center,Dental office,no,yes
2020,Chain Yard Urban Cidery,Drinking establishment,yes,yes
2020,Chameleon Cafe & Supper Club,Restaurant with onsite dining,yes,yes
2020,Chameleon Hair Studio,Personal care service,yes,yes
2020,Characters Hair Design,Personal care service,yes,yes
2020,Charlie's Billiard Club,Drinking establishment,no,yes
2020,Charlie's Place Restaurant,Restaurant with onsite dining,yes,yes
2020,Charlotte Lane Café & Crafts,Restaurant with onsite dining,no,yes
2020,Charm School Pub,Drinking establishment,yes,yes
2020,Charts Café,Restaurant with onsite dining,yes,yes
2020,ChaTime,Restaurant with onsite dining,yes,yes
2020,Chatime Atlantic,Restaurant with onsite dining,yes,yes
2020,Chatters Salon,Personal care service,yes,yes
2020,Chatters Salon,Personal care service,yes,yes
2020,Chavelah's Café,Restaurant with onsite dining,yes,no
2020,Cheachies Mexican Grill,Restaurant with onsite dining,yes,yes
2020,Cheeky Chic Boutique,Small retail,no,yes
2020,Cheeky Neighbour Diner,Restaurant with onsite dining,yes,yes
2020,Cheelin Express,Restaurant with onsite dining,yes,yes
2020,Cheema Aquatic Club,Not for profit,yes,yes
2020,Cheesecurds,Restaurant with onsite dining,yes,yes
2020,Cheesecurds Woodside,Restaurant with onsite dining,yes,yes
2020,Chef Abod Café & Catering,Restaurant with onsite dining,yes,yes
2020,Chef Todd's Catering and Deli,Restaurant with onsite dining,yes,yes
2020,Chefs From Away,Restaurant with onsite dining,yes,yes
2020,Chenpapa Food,Restaurant with onsite dining,yes,yes
2020,Cheryl's Place Family Hair Care,Personal care service,yes,yes
2020,Chester Clinic Dental Practice,Dental office,no,yes
2020,Chester Family Dental Center,Dental office,no,yes
2020,Chester Playhouse,Charity,yes,yes
2020,Chester's Cafe,Restaurant with onsite dining,yes,yes
2020,Chez Jean Dairy Twirl,Restaurant with onsite dining,yes,yes
2020,Chezzetcook and District Lions Club,Restaurant with onsite dining,no,yes
2020,Chic on Paper Illustration,In-person trade shows and exhibitions,yes,yes
2020,Chickadee Massage Therapy,Unregulated health professional,yes,yes
2020,Chill Street Fresh Beer and Cider Market,Drinking establishment,yes,yes
2020,China King Family Restaurant,Restaurant with onsite dining,no,yes
2020,China Village Restaurant,Restaurant with onsite dining,yes,yes
2020,Chinatown Restaurant,Restaurant with onsite dining,yes,yes
2020,ChiroCare,Self-regulated health professional,yes,yes
2020,Chiropractic Backcare and Health Centre,Self-regulated health professional,yes,no
2020,Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Chisholm Holistic Health,Unregulated health professional,yes,yes
2020,Chislingo,Small retail,no,yes
2020,Chives Canadian Bistro,Restaurant with onsite dining,yes,yes
2020,CHKN CHOP,Restaurant with onsite dining,yes,yes
2020,Chocolate by Gabrielle,In-person trade shows and exhibitions,yes,yes
2020,Chocolate Hackers,Restaurant with onsite dining,yes,yes
2020,Choice Chiropractic & Integrated Health Centre,Self-regulated health professional,yes,yes
2020,Choice Health Centre,Self-regulated health professional,yes,yes
2020,Choice Health Centre,Self-regulated health professional,yes,yes
2020,Chopstix,Restaurant with onsite dining,yes,yes
2020,Chowder House on Main,Restaurant with onsite dining,yes,yes
2020,Chrismaria Family Restaurant,Restaurant with onsite dining,yes,yes
2020,Christmas Tree Council of Nova Scotia,In-person trade shows and exhibitions,no,yes
2020,Christmas Tree Council of Nova Scotia,Not for profit,yes,no
2020,Church Point Social Club,Not for profit,yes,no
2020,Church's Barbershop,Personal care service,yes,yes
2020,Church's Esso,Independent gas retail,no,yes
2020,Ciao Bella Esthetics,Personal care service,yes,yes
2020,Ciao Bella Hair Studio,Personal care service,yes,yes
2020,Circa 1860 Kitchen + Public House,Restaurant with onsite dining,yes,yes
2020,Citadel Physiotherapy Company,Self-regulated health professional,yes,yes
2020,Clan CrossFit,Fitness establishment,yes,yes
2020,Clansman Motel,Restaurant with onsite dining,yes,yes
2020,Clare Golf & Country Club,Restaurant with onsite dining,no,yes
2020,Clare Massage Therapy Clinic,Personal care service,yes,yes
2020,Clare Organization Representing Persons with Disabilities,Not for profit,yes,no
2020,Clare Physiotherapy,Self-regulated health professional,yes,yes
2020,Clarity Garden Wellness Clinic,Unregulated health professional,no,yes
2020,Clarity Sound Solutions,"Live, performing arts for audience",yes,yes
2020,Clark Endodontics,Dental office,no,yes
2020,Clarkson Auto Sales,Small retail,no,yes
2020,Classic Physiotherapy,Self-regulated health professional,yes,yes
2020,Clay Café Truro,Small retail,no,yes
2020,Clay West Bar & Grill,Drinking establishment,yes,no
2020,Claymore Inn & Suites,Restaurant with onsite dining,yes,yes
2020,Clayton Orthodontics,Dental office,no,yes
2020,Clayton Park Chiropractic Centre Inc.,Self-regulated health professional,yes,yes
2020,Clayton Park Physiotherapy,Self-regulated health professional,yes,yes
2020,Clayton Plaza Dentistry,Dental office,no,yes
2020,ClearView Optometry Clinic,Self-regulated health professional,yes,no
2020,Clementsport Physiotherapy,Self-regulated health professional,yes,yes
2020,Cloud9 Hair Spa & Studio,Personal care service,yes,yes
2020,Clove Hitch Bar & Bistro,Restaurant with onsite dining,yes,yes
2020,Cloverville Enterprises,Restaurant with onsite dining,yes,yes
2020,Club Social des Iles,Not for profit,yes,yes
2020,CM Optical Limited,Self-regulated health professional,yes,yes
2020,CNE Car Wash,Small retail,no,yes
2020,Coastal Cafe,Restaurant with onsite dining,yes,yes
2020,Coastal Chiropractic,Self-regulated health professional,yes,yes
2020,Coastal Healthcare Solutions,Self-regulated health professional,yes,yes
2020,Coastal Sports & Wellness,Self-regulated health professional,yes,no
2020,Coastal Sports & Wellness,Unregulated health professional,yes,yes
2020,Coastal Styling Studio,Personal care service,yes,yes
2020,Coastal Tails,Personal care service,yes,yes
2020,Coastal Vision Clinic,Self-regulated health professional,yes,yes
2020,Coastal Waters Restaurant,Restaurant with onsite dining,no,yes
2020,Cobequid Arts Council,Not for profit,yes,yes
2020,Cobequid Dance Academy,Fitness establishment,yes,yes
2020,Cobequid Spartans,Fitness establishment,no,yes
2020,Coburg Dentistry,Dental office,no,yes
2020,Coburg Denture Clinic,Self-regulated health professional,yes,yes
2020,Coburg Social Bar & Café,Restaurant with onsite dining,yes,yes
2020,Coco Beach Tanning Studio,Fitness establishment,yes,yes
2020,Cocoa Organic Spa & Boutique,Personal care service,yes,yes
2020,Coffeeology Espresso Co.,Drinking establishment,yes,yes
2020,Coin's Pizza,Restaurant with onsite dining,yes,yes
2020,Colchester Community Workshops,Charity,yes,yes
2020,Colchester Regional Hospital Auxiliary,Charity,yes,yes
2020,Cole Harbour Chiropractic,Self-regulated health professional,yes,yes
2020,Cole Harbour Dental Centre,Dental office,no,yes
2020,Cole Harbour Heritage Farm Museum,Charity,yes,yes
2020,Cole Harbour Optometry,Self-regulated health professional,yes,yes
2020,Cole Harbour Physio & Rehab Centre,Self-regulated health professional,yes,yes
2020,Colleen's Pub & Grill,Restaurant with onsite dining,yes,yes
2020,Collette's Family Restaurant,Restaurant with onsite dining,yes,yes
2020,CollTeck Computers,Small retail,no,yes
2020,Color Me Crazy Hair Salon,Personal care service,yes,yes
2020,Colouratura Fine Art Gallery,Small retail,no,yes
2020,Colours,Personal care service,yes,yes
2020,Colwell's,Small retail,no,yes
2020,Come Undone Records Inc.,"Live, performing arts for audience",yes,yes
2020,Comeau Refrigeration,In-person trade shows and exhibitions,yes,yes
2020,Comfort Orthotics & Podiatry Clinic,Self-regulated health professional,yes,yes
2020,Comforting Companions Care Providers,Personal care service,yes,yes
2020,Commercial Street Deli,Restaurant with onsite dining,yes,yes
2020,Common Ground,In-person trade shows and exhibitions,yes,yes
2020,Commons Inn,Restaurant with onsite dining,no,yes
2020,Community Dental Center,Dental office,no,yes
2020,Community Hearing,Self-regulated health professional,yes,yes
2020,Complete Care Hospital for Pets,Veterinarian,yes,yes
2020,Complete Family Dentistry,Dental office,no,yes
2020,Complete Physio,Self-regulated health professional,yes,yes
2020,Conseil des arts de Cheticamp,Not for profit,yes,no
2020,Convenience in the Woods Bar & Grill,Restaurant with onsite dining,yes,yes
2020,Convoy Athletics,Fitness establishment,yes,yes
2020,Cooke's Pizza,Restaurant with onsite dining,no,yes
2020,Cook's Gas Bar & CAfe,Restaurant with onsite dining,yes,yes
