ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
410,Statistics Canada,primary,National Construction Industry Wage Rate Survey,"This survey collects data on wages paid for specific occupations in the construction industry in all provinces and territories except Québec, Manitoba and Yukon on behalf of the Labour Branch of Human Resources and Skills Development Canada (HRSDC). This survey is conducted region by region on a rotating basis. Estimates are produced for three wage rates -- starting, maximum and most frequently paid wages -- by occupation for both unionized and non-unionized workers, by province / territory and by economic region. The estimates are used by HRSDC to establish wage schedules for workers on federal construction projects. Québec, Manitoba and Yukon are excluded because equivalent wage schedules are established by the provincial or territorial government.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2935,,Open,Irregular,Sectoral,NA,NA
411,Statistics Canada,primary,National Graduates Survey (NGS),This survey was designed to determine such factors as: the extent to which graduates of postsecondary programs had been successful in obtaining employment since graduation; the relationship between the graduates' programs of study and the employment subsequently obtained; the graduates' job and career satisfaction; the rates of under-employment and unemployment; the type of employment obtained related to career expectations and qualification requirements; and the influence of postsecondary education on occupational achievement.,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5012,,Open,Irregular,National,NA,NA
412,Statistics Canada,primary,Public Sector Employment,"The Public Sector Employment Program produces monthly employment statistics relating to the federal, provincial, territorial and local general governments, health and social service institutions, universities, colleges, vocational and trade institutions, school boards, and government business enterprises. The Public Sector Employment Program plays a key role in the estimation of the government sector output in constant dollars. The data is used as input to the National Accounts and by officials from all levels of provincial and territorial governments, the Public Service Commission, Treasury Board, the media, unions and researchers.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=1713,,Open,Monthly,Provincial,NA,NA
413,Government of Canada,primary,Public Service Employee Survey (PSES),"The effects of Program Review, government restructuring, increased workload and rapid technological advances have greatly affected federal Public Service employees. Recent studies and reports on specific segments of the federal Public Service had shown that low morale was prevalent among executives and knowledge workers and that many employees felt that workplace conditions were not conducive to confidence in management, job satisfaction and career advancement. Much additional information was required in order to further evaluate these findings and determine how the present workplace structure could be improved to meet the challenges facing it at the turn of the new millennium.",https://www.canada.ca/en/treasury-board-secretariat/services/innovation/public-service-employee-survey.html,,Open,Occasional,Provincial,NA,NA
414,Statistics Canada,primary,Statistics Canada Home Page,"Statistics Canada home page, census .",http://www.statcan.gc.ca/start-debut-eng.html,,OPEN,,National,,NA
415,Statistics Canada,primary,Summary Tables,"This selection of summary tables provides an overview of statistical information on Canada's people, economy, and governments.",https://www12.statcan.gc.ca/census-recensement/2016/ref/index-eng.cfm,,Open,NA,National,NA,Any / All
416,Statistics Canada,primary,Survey of Employment Earnings and Hours (SEPH),"The Survey of Employment Earnings and Hours is produced from the combination of the Business Payroll Survey results and the payroll deductions administrative data received from Canada Revenue Agency. The Survey of Employment, Payrolls and Hours is Canada's only source of detailed information on the total number of paid employees, payrolls, hours at detailed industrial, provincial and territorial levels. In addition to providing the principal input to Labour Income estimates, it also serves as a proxy output measure for about 15% of Real and Gross Domestic Product. The data are also used by the private sector for contract escalation and wage rate determination, by Canada Revenue Agency (CRA) to revise the maximum pensionable earnings and retirement savings plan contribution limits.",http://www5.statcan.gc.ca/bsolc/olc-cel/olc-cel?lang=eng&catno=72-002-X,,Open,Monthly,Industry,NA,NA
418,Statistics Canada,primary,Workplace Survey,"The survey collects data on a wide gamut of characteristics such as workplace demographics, workplace employment profile, occupations, hours of work, pay and benefits, training and retirements. The pilot is a test of various ideas and strategies with a view to identify what is do-able and what questions can be supported by the annual survey. The intent is to establish the reasonableness of the concepts and the data as well. The pilot will help assess the feasibility of collecting statistical information on a wide array of emerging and relevant issues pertaining to business strategies, policies and practices in an ever-changing business environment. A modular approach is taken to ensure that current relevant issues are covered. The questionnaires comprise a core module plus a module on job vacancy and skills shortages and a module on workplace practices. Particular focus is given to job vacancies, skills shortages, skills gaps, training practices as well as hiring and compensation practices. Survey data will be used by Human Resources and Skills Development Canada (HRSDC) to address current and emerging policy issues affecting workplaces and employment conditions.",http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=5180,,Open,Annually,Provincial,NA,NA
419,Statistics Canada,products,"Education Matters: Insights on Education, Learning and Training in Canada","This free online periodical provides summary information on issues and gives access to education indicators and Canadian education analysis. It presents information, statistics and analysis in a non-technical, highly readable format for teachers, students, parents, education associations, researchers and policy makers. It is published bimonthly by Statistics Canada's Centre for Education Statistics.",https://www150.statcan.gc.ca/n1/en/catalogue/81-004-X,,Open,Bi-monthly,National,NA,Any / All
421,Statistics Canada,products,Perspectives on Labour & Income,"This publication brings together and analyzes a wide range of labour and income data. Topics include youth in the labour market, pensions and retirement, work arrangements, education and training, and trends in family income.",https://www150.statcan.gc.ca/n1/pub/75-001-x/75-001-x2011002-eng.htm,,Open,NA,National,NA,Any / All
422,Statistics Canada,products,The Daily,"The Daily is Statistics Canada's official release bulletin, the Agency's first line of communication with the media and the public. The Daily issues news releases on current social and economic conditions and announces new products. It provides a comprehensive one-stop overview of new information available from Statistics Canada.",https://www150.statcan.gc.ca/n1/dai-quo/index-eng.htm,,Open,Daily,Varies by publication,NA,NA
423,Statistics Canada,research,Various Publications,"Statistics Canada publishes numerous labour market studies based on the primary data from their various surveys. The following is a library of nearly 1800 publications produced by Statistics Canada on various labour market topics such as commuting to work, unpaid work, employment/unemployment, mobility and turnover, wages and salaries, unionization, training and education, industries and occupations, and so on.",https://www150.statcan.gc.ca/n1/en/type/analysis?HPA=1,,Open,Ongoing,Varies by publication,Varies,Any / All
424,Statistics Canada,primary,Census Data,"Provides census data by topic, tables, analytic reports and geography",https://www12.statcan.gc.ca/census-recensement/index-eng.cfm,Various,Open,Every 2-5 years,Varies,2011,
425,Statistics Canada,research,"Study: Occupational profile and overqualification of young workers in Canada, 1991 to 2011","Provide some highlights on the evolution of the occupational characteristics of young men and women in Canada between 1991 and 2011, a period during which the educational attainment of young people rose substantially.",http://www.statcan.gc.ca/daily-quotidien/140402/dq140402a-eng.htm,"Women, Youth, Students, HR Professionals, Employers",Open,Every 5-10 years,"Individual, National",2011,
426,Students NS,research,The Labour Market for Students and Graduates,Discusses the shifting of post-secondary costs from governments to university students,http://studentsns.ca/research-policy/fact-sheets-data/the-labour-market-for-students-and-graduates/,"Students, Government, Academic, Educators, Policymakers, Finance, Youth",Open,NA,Varies,2013,
427,Students NS,research,The Illiteracy of the Literate: The Lack of Financial Aid Knowledge among Canadian University Students,The purpose of this paper is to explore the conflation of inexperienced individuals with complicated borrowing.,http://studentsns.ca/wp-content/uploads/2013/02/CanStudSurvey-Illiteracy-of-the-Literate-.pdf,"Students, Academic, Finance, Educators, Policymakers",Open,NA,"Individual, National",2010,Youth
428,Students NS,research,Next Steps: Upper-Year Canadian PSE Students’ Future Plans and Debt,"This research report focuses on upper-year students (i.e. fourth- and fifth-year students), and explores their future plans, accumulated debt and the intersection of the two.",http://studentsns.ca/wp-content/uploads/2013/04/CanStudSurvey-Next-Steps-Upper-Year-Students-Plans-and-Debt.pdf,"Students, Government, Academic, Educators, Policymakers, Finance, Youth",Open,NA,"Individual, National",2010,
429,TD Economics (Toronto Dominion),research,TD Economics: TD Bank Financial Group,"TD Economics provides analysis of economic performance and the implications for investors. The analysis covers the globe, with emphasis on Canada, the United States, Europe and Asia.",http://www.td.com/economics/analysis/economics-index.jsp,,OPEN,,Industry,,NA
430,Teacher's Certification,products,Teacher's Certification,The Teacher Certification Office is mainly responsible for initial certification of teachers.,http://certification.ednet.ns.ca/,,OPEN,,Provincial,,Any / All
431,TechNova,products,TechNova,"TechNova is responsible for administering the Applied Science Technology Act of Nova Scotia, maintaining and enforcing high standards of technical and ethical competence, and ensuring the consistent and effective certification of technicians and technologists",http://technova.ca/,,OPEN,,Provincial,,Persons with disabilities
435,Tourism Industry Association of Nova Scotia,products,Tourism Industry Association of Nova Scotia (TIANS),"We pride ourselves as the champion of advocacy for tourism issues in Nova Scotia. By listening to you, our members, TIANS is fiercely working on your behalf with a passion for our industry, sincere compassion for your well-being and the desire to advance change.",http://www.tians.org/,,OPEN,,Provincial,,Any / All
436,Trucking Human Resource Sector Council Atlantic,research,Trucking Industry Overview,The purpose of this study of the Nova Scotia trucking industry labor market was to examine the current situation and identify the options and opportunities for improving recruitment and retention.,https://thrsc.com/,,Open,NA,Provincial,2008,
437,Wood Manufacturing Council,products,Wood Manufacturing Council,"The Council's mandate is to plan, develop and implement human resources strategies that support the long-term growth and competitiveness of Canada's advanced wood products manufacturing industry and meet the developmental needs of its workforce. The Council identifies and examines the necessary skills and knowledge required to respond to changing industry needs. The Council also develops an overall strategic plan to address key issues such as the shortage of skilled workers and the need for national standards for worker competencies.",http://www.wmc-cfb.ca/,,OPEN,,Regional,,
438,Workers Compensation Board of Nova Scotia,products,Employment Incentives Program (EIP),"Using a variety of technical and financial incentives, the program is designed to help employers stay competitive, while giving workers who have been injured on the job a chance to once again make a productive contribution to their lives, their families and their province.",https://www.wcb.ns.ca,,Open,NA,Business,NA,
439,Workers Compensation Board of Nova Scotia,products,On-the-job Training Program (OJT),"Sometimes an injured worker is unable to return to their original job, and they have to find a new career - perhaps in a new field.  The On-the-Job Training Program (OJT) offered by the Worker's Compensation Board of Nova Scotia (WCB) can provide these workers with much-needed training and experience to help them make this transition.  OJT is also a risk-free, cost-saving program that can provide you with a qualified worker for the specified period of time. ",https://www.wcb.ns.ca,,Open,NA,Business,NA,
440,Workers Compensation Board of Nova Scotia,research,Preventing Workplace Injuries,WCB provides tools and resources to help employers and workers create safe workplaces.,http://www.worksafeforlife.ca/Home/Injury-Prevention,,Open,NA,Business,2010,
441,Workers Compensation Board of Nova Scotia,research,Returning To Work,"Work is healthy, and research proves it.  When injury occurs, staying connected to the workplace and continuing to work is the most important factor in recovery.  The longer employees are off work, the less likely they are to return.  So when an injury does occur, the best result for everyone is a safe and timely return to work.  The Worker's Compensation Board's (WCB) goal is to work with employers, employees, unions, and health care providers to ensure this happens.",https://www.wcb.ns.ca/Return-to-Work.aspx,,Open,NA,Business,2006,
442,Government of Canada,primary,Job Market Trends,"Find wages, outlooks, and monthly information about Canada's Job Market to help individuals and organizations make informed decisions about work.",http://www.jobbank.gc.ca/content_pieces-eng.do?cid=3443,,Open,Ongoing,National,,
448,Statistics Canada,research,Insights on Canadian Society: Persons with Disabilities and Employment,"This article provides information on the labour market participation of Canadians 25 to 64 years of age with a physical or mental disability related to seeing, hearing, mobility, flexibility, dexterity, pain, learning, development, psychological/mental disorders or memory. The factors associated with the employment participation of persons with disabilities are discussed, along with their job characteristics.",http://www.statcan.gc.ca/pub/75-006-x/2014001/article/14115-eng.pdf,Persons with disabilities,Open,,National,2014,Persons with disabilities
449,Canadian Federation of Independent Business,research,Survey Results: small business views on the Canadian workforce,"A new CFIB backgrounder shows that although a majority of small business owners said their workers are the most important factor in the success of their business, they are struggling to find new candidates of the same quality: two-thirds of business owners surveyed said that the quality of job applicants has declined.",http://www.cfib-fcei.ca/english/article/7602-small-business-views-on-the-canadian-workforce.html,,Open,,National,2015,
450,Nova Scotia Construction Sector Council,research,Nova Scotia 2015 Labour Market Assessment,"The focus of this project is to generate up-to date,
accurate labour market information (LMI),
providing ICI industry stakeholders with a solid
foundation from which to plan and address
human resource and business needs, and
effectively represent and influence industry
requirements and outcomes going forward.",http://nscsc.ca/Documents/LMA/LMA%202015%20Fact%20Sheet.pdf,,Open,,Provincial,2015,Construction Sector
451,Pathways to Prosperity: Canada,research,Who Are Recent Immigrants and What are Their Economic Activities?,An analysis of socio-demographic profiles and economic activities across immigration categories.,http://p2pcanada.ca/wp-content/blogs.dir/1/files/2015/12/Who-are-the-Recent-Immigrants-and-What-are-their-Economic-Activities.pdf,,Open,,Provincial,2015,Immigration
452,Ocean Technology Council of Nova Scotia,products,Careers in Nova Scotia's Ocean Sector,Occupational profiles for careers in the ocean sector.,https://otcns.ca/careers/,,Open,,Provincial,2015,Careers
468,Statistics Canada,products,North American Industry Classification System (NAICS) 2017,"NAICS Canada 2017 Version 3.0 has been created in response to the legalization of cannabis for non-medical use. Five new cannabis-related industries in agriculture, manufacturing, wholesale trade and retail trade have been created for NAICS Canada 2017 Version 3.0.",https://www150.statcan.gc.ca/n1/daily-quotidien/180920/dq180920f-eng.htm?CMP=mstatcan,,Open,,National,2018,
453,WISE Atlantic,research,"Career Choices and Influencers in Science, Technology, Engineering, and Math: An Analysis of the Maritime Provinces","The WISE Atlantic Research Group has completed the first year of a five year study focusing on the engagement of junior high school students in science and math subjects, their competency in such subjects, and influencers of their future career decisions, particularly those focused on careers in science, technology, engineering and math. Research highlights are summarized in this Executive Report. For a copy of this report, or to learn more about the study, contact WISE Atlantic.",http://www.wiseatlantic.ca/pdf/WISEatlantic%20Executive%20Report%20-%20January%202014.pdf,,Open,,Regional,2014,Careers
454,RBC (Royal Bank of Canada) Economics Research,research,Humans Wanted: How Canadian youth can thrive in the age of disruption,This report looks at the future of work and how a focus on skills can help young people prepare for and navigate a new world of work.,https://www.rbc.com/dms/enterprise/futurelaunch/humans-wanted-how-canadian-youth-can-thrive-in-the-age-of-disruption.html,,Open,,National,2018,Skills
455,iPOLITICS,products,"The Future of Work - iPolitics Quarterly Magazine, March 2018","Featuring articles such as ""The Jobs of Tomorrow"", ""Looking at a World Without Jobs"", ""Shortage? What Labour Shortage?""",https://ipolitics.ca/2018/03/22/march-2018-the-future-of-work/,,OPEN,,National,2018,Careers
456,Statistics Canada,research,"Annual Review of the Labour Market, 2017",This article analyses the Canadian labour market in 2017. The focus is on national trends as well as key provincial and industrial sector changes.,https://www150.statcan.gc.ca/n1/pub/75-004-m/75-004-m2018001-eng.htm,,Open,Annually,National,2018,
457,Statistics Canada,research,Wages for Young Workers up to the Age of 40,This study compares the earnings trajectories of several recent cohorts of young workers with those of cohorts who entered the labour market in the late 1970s.,https://www150.statcan.gc.ca/n1/en/catalogue/11F0019M2018405,,Open,,National,2018,Youth
458,Statistics Canada,research,Are Canadian Jobs More of Less Skilled Than American Jobs?,"This study compares the skill requirements of actual jobs held by workers in Canada and in the United States. In total, 35 job skills are examined.",https://www150.statcan.gc.ca/n1/daily-quotidien/180625/dq180625d-eng.htm,,Open,,National,2018,Skills
459,Employment and Social Development Canada,research,Promoting the Labour Force Participation of Older Canadians,The purpose of this report is to provide decision makers with effective policy and program solutions to the challenges faced by older workers with respect to their participation in the labour market.,https://www.canada.ca/en/employment-social-development/corporate/seniors/forum/labour-force-participation.html,,open,,National,2018,Older workers
460,Statistics Canada,products,Canada's Population Clock,"Canada's population clock is an interactive learning tool for all Canadians. It uses the agency's quarterly demographic estimates to give Canadians a sense of the pace of Canada's population renewal. The population clock also models how often, and where, births, deaths and migrations are occurring.",https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2018005-eng.htm,,open,,National,2018,
461,Statistics Canada,research,Workers looking for a new job,"This study uses data from the Longitudinal and International Study of Adults (LISA) to provide information on individuals looking for work even if they are already employed. The study examines the reasons why workers want to look for a new job. The paper also explores the links between looking for a job while employed, the characteristics of workers seeking a new job and their level of job satisfaction.",https://www150.statcan.gc.ca/n1/pub/75-006-x/2018001/article/54975-eng.htm,,open,,National,2018,
462,Statistics Canada,research,Women in Canada: A Gender-based Statistical Report,"Understanding the role of women in Canadian society and how it has changed over time is dependent on having information that can begin to shed light on the diverse circumstances and experiences of women. Women in Canada provides an unparalleled compilation of data related to women's family status, education, employment, economic well-being, unpaid work, health, and more.",https://www150.statcan.gc.ca/n1/pub/89-503-x/89-503-x2015001-eng.htm,,OPEN,,National,2018,Women
463,Statistics Canada,research,"The Effect of Unemployment on Life Satisfaction: A Cross-national Comparison Between Canada, Germany, the United Kingdom and the United States",This paper investigates the effect of unemployment on life satisfaction from a comparative perspective.,https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2018408-eng.htm,,OPEN,,National,2018,
464,Statistics Canada,products,Guide to the Labour Force Survey,The Labour Force Survey (LFS) is a household survey carried out monthly by Statistics Canada.,https://www150.statcan.gc.ca/n1/pub/71-543-g/71-543-g2018001-eng.htm,,OPEN,,National,2018,
465,Labour Market Information Council,products,LMI Insights,"The goal of LMI Insights is to share LMIC’s analyses and understandings in a clear, concise manner and help facilitate informed decision making.",,,Open,,National,NA,
466,Statistics Canada,research,Recent trends in Canada's labour market: A rising tide or a passing wave?,A review of trends in Canada's labour market from 2016 to 2018,https://www150.statcan.gc.ca/n1/pub/71-222-x/71-222-x2018001-eng.htm,,Open,,National,2018,
467,Statistics Canada,products,2016 Census application,2016 Census application from Statistics Canada allows you to compare census data for two areas.,https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2018009-eng.htm,,Open,,National,2018,
469,Statistics Canada,products,"Gender, Diversity, and Inclusion Statistics","Statistics focused on gender, diversity, and inclusion.",https://www.statcan.gc.ca/eng/topics-start/gender_diversity_and_inclusion,,open,,National,2018,
470,Statistics Canada,research,Education Indicators in Canada: Report of the Pan-Canadian Education Indicators Program March 2018,"The Pan-Canadian Education Indicators Program (PCEIP) provides a statistical portrait of the elementary, secondary and postsecondary education systems through these tables and other products.",https://www150.statcan.gc.ca/n1/pub/81-582-x/81-582-x2018001-eng.htm,,open,,National,2018,
471,Statistics Canada,research,Results from the 2016 census: Is field of study a factor in the payoff of a graduate degree?,"Using data from the 2016 Census, this study examines the extent to which median earnings of workers with a master’s degree or doctorate differ from their counterparts with a bachelor’s degree, focusing on differences across fields of study.",https://www150.statcan.gc.ca/n1/pub/75-006-x/2018001/article/54978-eng.htm,,Open,,National,2018,
472,Statistics Canada,research,Students in the labour market: Beyond the recession,"The labour market situation of Canadian youth has been a source of preoccupation of late, with key labour market indicators related to this group not having fully recovered from their pre-recession levels nearly 10 years after the economic downturn in 2008/2009.",https://www150.statcan.gc.ca/n1/pub/75-004-m/75-004-m2018002-eng.htm,,Open,,National,2018,
473,Atlantic Provinces Economic Council,research,The Growing Role of Temporary Foreign Workers in Atlantic Canada,"The number of temporary foreign workers in Atlantic Canada increased threefold between 2005 and 2012 to reach 10,900 workers in December 2012, representing 1% of total employment in the region, according to the latest APEC Report Card.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=237&site.page.id=2000,,Restricted,,Regional,2014,Immigration
474,Atlantic Provinces Economic Council,research,The Aging Workforce in Atlantic Canada,The latest APEC Report Card highlights the aging of Atlantic Canada’s workforce.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=239&site.page.id=2000,,Restricted,,Regional,2014,Older workers
475,Atlantic Provinces Economic Council,research,Atlantic Canada in 2020,"In this report former APEC CEO Elizabeth Beale casts her eye on the year 2020 in Atlantic Canada, examining the region’s changing job environment, its aging workforce and shifts in population.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=254&site.page.id=2000,,Restricted,,Regional,2015,
476,Atlantic Provinces Economic Council,research,The Case for More Bodies,APEC's President and CEO says the Atlantic premiers and federal government are on the right track towards attracting and retaining badly-needed immigrant workers and their families to the region.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=306&site.page.id=2000,,Open,,Regional,2016,
477,Atlantic Provinces Economic Council,research,Immigration is on the Rise in Atlantic Canada,"The number of immigrants to Atlantic Canada has tripled since 2002, reaching a record 8,300 in 2015 and jumping to more than 11,600 in the first nine months of 2016, according to a Report Card issued today by the Atlantic Provinces Economic Council.",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=328&site.page.id=2000,,Restricted,,Regional,2017,
478,Atlantic Provinces Economic Council,research,How Well are Atlantic Youth Doing in the Labour Market?,This Report Card focuses on individuals aged 25-29 to assess the labour market outcomes of the first age group that has had a chance to complete post-secondary education. The report also discusses how to improve labour market outcomes.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=342&site.page.id=2000,,Restricted,,Regional,2017,
479,Atlantic Provinces Economic Council,research,Minimum Wages in Atlantic Canada,A new Report Card from the Atlantic Provinces Economic Council examines who earns the minimum wage and concludes that Atlantic businesses would benefit from predictability and consistency in setting minimum wages.,https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=350&site.page.id=2000,,Restricted,,Regional,2018,
480,Atlantic Provinces Economic Council,research,Atlantic Indigenous Economic Outcomes and Opportunities,"Indigenous people play an important and growing role in the Atlantic economy, but economic indicators show that there is more work to be done to fully realize their economic potential, according to the latest Report Card from the Atlantic Provinces Economic Council (APEC).",https://www.apec-econ.ca/publications/view/?do-load=1&publication.id=365&site.page.id=2000,,Restricted,,Regional,2018,
